"dogadjajID","datum","naziv","opis","podvrstaDogadjaja","putanjaDoSlike","status","vrijeme","vrstaDogadjaja","korisnickoIme","lokacijaID","mjestoID"
1,"2024-08-16","Koncert klasične muzike","Koncert klasične muzike u centralnom parku predstavlja vrhunski muzički događaj na otvorenom. Očekujte izvedbe nekih od najpoznatijih klasičnih kompozicija u predivnom ambijentu parka.","Koncert","assets/events_photos/1.png","ODOBREN","+19:00:00.000000","Muzika","organizator",101,202
2,"2024-08-17","Izložba moderne umetnosti","Izložba moderne umetnosti u galeriji donosi radove savremenih umetnika iz celog sveta. Posetioci će imati priliku da se upoznaju sa inovativnim umetničkim pravcima i tehnikama.","Izložba","assets/events_photos/2.png","ODOBREN","+11:00:00.000000","Kultura","organizator",102,203
3,"2024-08-18","Sportskom turniru","Turnir u malom fudbalu na stadionu okuplja timove iz različitih delova grada u uzbudljivom takmičenju. Pored glavnih utakmica, biće organizovani i različiti popratni sadržaji za sve uzraste.","Takmičenje","assets/events_photos/3.png","ODOBREN","+15:00:00.000000","Sport","organizator",103,204
4,"2024-08-19","Gastro festival","Festival hrane i vina u gradskoj hali nudi jedinstvenu priliku za uživanje u raznovrsnim jelima i pićima iz različitih delova sveta. Posetioci će moći da probaju specijalitete pripremljene od strane renomiranih kuvara.","Festival","assets/events_photos/4.png","ODOBREN","+12:00:00.000000","Ostalo","organizator",104,205
5,"2024-08-20","Koncert u Areni","Veliki koncert poznatog izvođača u Areni Sarajevo predstavlja vrhunski muzički doživljaj sa impresivnom produkcijom i spektakularnim vizualnim efektima. Ne propustite priliku da uživate u jedinstvenom nastupu.","Koncert","assets/events_photos/5.png","ODOBREN","+20:00:00.000000","Muzika","organizator",101,207
6,"2024-08-21","Toma Zdravković Tribute","Veče posvećeno legendarnom pevaču","Koncert","assets/events_photos/6.png","ODOBREN","+20:00:00.000000","Muzika","organizator",101,202
7,"2024-08-22","Stand-up Comedy Night","Veče smeha uz najbolje domaće komičare","Stand-up","assets/events_photos/7.png","ODOBREN","+19:30:00.000000","Kultura","organizator",102,203
8,"2024-08-23","Tehnička izložba","Izložba novih tehnologija u tehnološkom centru.","Izložba","assets/events_photos/8.png","ODOBREN","+10:00:00.000000","Ostalo","organizator",109,210
9,"2024-08-24","Jazz Festival","Festival jazza sa poznatim izvođačima u gradskom parku.","Festival","assets/events_photos/9.png","ODOBREN","+19:00:00.000000","Muzika","organizator",108,209
10,"2024-08-25","Umetnički Performans","Jedinstveni umetnički performans u kulturnom centru.","Performans","assets/events_photos/10.png","ODOBREN","+20:00:00.000000","Kultura","organizator",109,211
11,"2024-08-26","Sportski Festival","Festival sportskih aktivnosti i takmičenja na stadionu.","Festival","assets/events_photos/11.png","ODOBREN","+16:00:00.000000","Sport","organizator",107,208
12,"2024-08-27","Folk Fest","Najbolji izvođači narodne muzike na jednom mestu","Festival","assets/events_photos/12.png","ODOBREN","+18:00:00.000000","Ostalo","organizator",103,204
13,"2024-09-05","Boks Meč - Regionalni Turnir","Uzbudljiv boks meč sa regionalnim šampionima","Sport","assets/events_photos/13.png","ODOBREN","+21:00:00.000000","Sport","organizator",104,205
